age,gender,course,study_hours,internet_access,sleep_hours,sleep_quality,study_method,facility_rating,exam_difficulty,exam_score
20,other,diploma,7.69,yes,7.4,average,self-study,low,hard,69.4
24,female,bca,6.78,yes,5.8,average,online videos,high,moderate,75.4
23,male,b.com,7.13,yes,7.2,poor,mixed,low,hard,66.9
17,female,ba,6.11,no,9.3,good,group study,high,easy,100
18,other,b.com,4.84,yes,8,average,online videos,medium,easy,70.7
23,female,bba,4.26,yes,4.5,average,group study,medium,easy,34.3
17,male,b.sc,4.41,yes,4.4,good,coaching,high,hard,83.7
23,other,diploma,1.61,yes,4.9,poor,mixed,high,easy,29.2
19,other,diploma,1.72,yes,7.4,good,self-study,medium,easy,60.9
24,male,b.com,0.27,yes,5,average,group study,medium,moderate,36.3
19,female,b.sc,5.96,yes,5.5,average,self-study,medium,moderate,69.1
20,female,ba,1,yes,7.2,average,group study,low,moderate,63.5
22,male,bba,4.66,yes,7.4,average,coaching,high,easy,82.6
18,male,bba,1.1,yes,8.9,average,online videos,medium,hard,38.8
21,other,b.tech,0.53,no,6.6,average,mixed,high,easy,56.9
21,female,bba,4.27,yes,8.7,poor,self-study,medium,moderate,45.7
23,other,b.tech,6.98,yes,4.5,average,online videos,high,moderate,92
24,female,b.com,2.85,yes,7.3,poor,mixed,low,moderate,32.1
22,female,bca,7.35,yes,6.6,average,coaching,medium,hard,100
20,other,diploma,0.08,yes,9.5,good,online videos,medium,easy,40.8
20,male,bba,3.73,yes,8.3,good,mixed,high,hard,69.5
20,female,b.sc,1.17,yes,8.1,poor,mixed,high,moderate,39
23,male,bba,2.53,no,9.4,average,self-study,medium,easy,23.5
19,male,b.tech,0.19,yes,5.5,poor,online videos,low,easy,19.599
18,other,b.sc,0.28,no,8.5,good,self-study,high,easy,46
19,male,b.tech,5.7,yes,9.2,poor,self-study,medium,moderate,67.9
17,female,diploma,5.24,yes,9.9,poor,group study,high,moderate,54
17,female,b.com,1.67,yes,6.6,good,self-study,medium,moderate,53.5
17,other,ba,7.21,yes,8,average,self-study,medium,easy,77.8
23,female,bca,5.5,yes,5.1,poor,coaching,medium,moderate,68.1
22,other,diploma,2.69,no,7.4,poor,coaching,medium,moderate,49
22,other,diploma,3.26,yes,6.7,average,coaching,high,moderate,52.2
20,other,b.sc,2.34,yes,4.8,good,group study,high,moderate,55.4
22,other,b.com,6.64,yes,9.5,poor,online videos,high,easy,69.4
18,male,b.com,3.95,yes,9.4,good,self-study,low,moderate,80.7
24,male,bca,01.08,yes,9.8,poor,group study,medium,moderate,32
21,female,b.com,1.61,yes,5.1,good,self-study,high,moderate,34.3
24,female,b.sc,2.37,yes,4.1,average,group study,medium,moderate,35.4
18,other,bca,3.23,yes,8.5,good,self-study,medium,easy,57.8
20,other,ba,4.74,yes,5.6,average,online videos,low,easy,50.4
22,male,bca,7.71,yes,7.8,average,coaching,high,moderate,87.2
20,male,b.com,2.1,yes,7.2,average,coaching,low,hard,56.6
20,male,ba,2.63,yes,7.5,good,online videos,high,moderate,91.6
18,female,b.tech,0.19,yes,7,poor,group study,medium,easy,23.7
20,female,b.tech,2.98,yes,4.1,average,self-study,low,hard,56.5
18,male,b.tech,5.4,yes,5.6,average,group study,low,easy,76.1
19,other,b.sc,7.7,yes,9.5,poor,online videos,medium,easy,73.1
22,male,b.com,5.92,yes,6.5,poor,self-study,medium,moderate,74.8
22,female,b.tech,0.94,yes,5.9,good,self-study,medium,easy,21.4
21,other,b.sc,7.12,yes,4.1,poor,mixed,high,moderate,69.5
19,male,bca,6.71,yes,6.2,poor,coaching,low,easy,90
24,other,bca,1.51,yes,5.3,good,mixed,medium,easy,44.3
17,other,b.com,7.47,yes,7.1,poor,group study,low,moderate,66.6
19,other,diploma,5.71,yes,8.2,average,online videos,high,easy,83.5
17,male,b.tech,6.26,no,4.4,average,self-study,high,easy,70.9
19,female,b.tech,3.67,yes,8.3,good,mixed,low,easy,67.9
24,male,b.com,1.61,yes,4.1,poor,online videos,medium,hard,44.7
19,female,b.sc,6.39,yes,8.1,poor,mixed,high,moderate,84
24,other,b.tech,3.82,yes,4.9,average,coaching,medium,easy,73
20,other,bca,7.74,no,6.1,poor,self-study,medium,moderate,65
22,other,diploma,1.23,yes,4.7,good,coaching,low,moderate,31.4
20,female,b.sc,2.84,yes,7.3,average,group study,low,moderate,48.5
19,other,b.com,5.88,yes,8.8,average,coaching,high,moderate,78.6
23,other,bca,4.58,yes,7.4,average,mixed,high,moderate,90.9
24,other,diploma,3.47,no,9.4,poor,group study,low,moderate,39.6
19,other,b.com,5.61,yes,4.2,good,coaching,low,easy,66.5
23,female,bba,5.87,yes,6.1,average,group study,low,hard,83.1
19,male,b.tech,4.62,yes,6.3,average,online videos,low,moderate,40.2
22,male,ba,2.55,yes,5.9,average,coaching,low,easy,57.6
23,other,diploma,4.95,yes,6.5,average,online videos,medium,moderate,51.5
20,male,ba,4.36,no,7.4,good,self-study,high,easy,92.2
22,male,bba,6.38,yes,5.2,poor,mixed,high,moderate,72.7
19,other,bba,5.23,yes,5.2,poor,mixed,medium,moderate,69.9
17,female,bba,3.97,yes,4.9,good,group study,low,moderate,62.6
17,other,bba,0.15,yes,5.8,average,self-study,low,easy,27.7
20,male,diploma,1.34,yes,7.9,average,self-study,low,hard,55.9
24,female,b.tech,2.69,yes,7.1,average,mixed,high,moderate,57.2
18,female,diploma,4.81,yes,5.7,good,mixed,high,easy,69.9
20,female,diploma,6.34,yes,9.8,average,mixed,medium,hard,84.6
22,female,diploma,7.68,yes,7.8,average,coaching,low,moderate,100
18,male,b.com,4.8,yes,5.6,good,mixed,low,moderate,61.6
22,other,bba,5.83,yes,4.3,average,coaching,high,moderate,59.6
19,male,b.com,4.97,yes,5.4,poor,mixed,low,hard,37.9
23,female,bca,3.44,yes,6.9,poor,mixed,medium,moderate,40.8
21,other,b.com,4.88,yes,5.2,poor,online videos,high,hard,73.6
21,female,b.com,3.21,yes,5.9,poor,group study,high,hard,52.1
18,male,bba,3.63,yes,9.9,average,group study,high,easy,65.9
20,male,b.tech,7.29,yes,9.6,good,coaching,high,hard,100
23,female,b.com,4.51,yes,7.1,good,group study,medium,easy,70.6
17,female,b.sc,0.8,yes,9,poor,group study,high,moderate,61.6
23,other,b.com,4.19,no,5.7,average,mixed,high,hard,74.8
20,male,ba,7.63,no,8.5,good,online videos,low,moderate,68.6
22,female,b.tech,0.8,yes,9.4,average,group study,low,moderate,57.4
22,male,diploma,7.77,yes,9,average,coaching,medium,easy,95.5
20,female,b.com,7.9,yes,7.8,poor,self-study,medium,moderate,89
19,female,b.com,4.49,yes,9,poor,coaching,low,easy,72.6
22,male,b.sc,2.66,yes,4.1,good,self-study,high,hard,44.3
18,male,diploma,0.08,no,6.3,poor,coaching,low,easy,19.599
21,male,bca,0.12,yes,8.6,average,mixed,high,moderate,61.2
17,female,ba,3.1,yes,6.4,poor,mixed,high,easy,54.6
22,male,b.com,6.26,yes,5.1,good,coaching,high,moderate,95.6
22,male,ba,7.54,yes,8.6,good,mixed,medium,moderate,90.6
17,male,diploma,1.24,yes,7.7,average,mixed,medium,easy,67.1
23,male,b.sc,3.9,yes,7.1,average,mixed,medium,moderate,68.4
20,male,bba,04.01,no,6,good,coaching,medium,hard,83.4
23,female,diploma,03.04,no,4.6,average,coaching,low,moderate,53.2
17,male,bca,4.32,yes,9.2,average,coaching,low,easy,71.4
18,male,diploma,7.4,yes,5.2,good,self-study,low,moderate,86.2
20,male,diploma,3.51,no,7.8,poor,group study,medium,hard,55.4
18,male,b.tech,1.1,no,5.8,poor,group study,medium,easy,19.8
19,male,b.sc,5.32,yes,5.4,average,group study,medium,moderate,75.7
22,male,b.sc,0.25,yes,6.7,average,online videos,low,easy,31.9
18,other,ba,7.52,no,8.4,average,group study,low,easy,90.7
22,other,b.com,7.52,yes,5.4,average,online videos,high,hard,81.7
17,male,b.tech,0.74,yes,4.6,good,group study,low,moderate,27.6
18,male,ba,4.41,yes,6.9,average,group study,low,hard,70.6
21,female,b.tech,6.38,yes,7.3,good,self-study,medium,easy,92.1
23,other,b.com,3.72,yes,7.9,average,coaching,medium,easy,64.6
18,other,b.com,3.83,yes,6.7,good,self-study,high,easy,80.7
19,other,diploma,7.76,yes,6.3,poor,online videos,medium,hard,69.8
24,male,bba,1.84,no,4.9,poor,coaching,high,moderate,74.9
24,female,bba,4.21,yes,5.8,poor,self-study,medium,moderate,50.5
21,female,bca,0.92,yes,5.5,good,online videos,high,easy,67.6
20,female,b.sc,2.42,yes,4.8,good,mixed,high,moderate,53.2
19,other,b.sc,6.81,yes,9.7,average,self-study,medium,easy,85.2
21,male,bca,5.73,yes,5.1,good,group study,low,easy,70.2
21,female,bca,4.9,yes,7.4,poor,group study,medium,easy,65.9
19,male,b.tech,0.91,yes,6.4,average,group study,high,moderate,47.4
17,male,b.sc,6.81,yes,7.3,average,group study,medium,hard,82.8
18,male,b.sc,2.38,yes,7.5,poor,mixed,high,easy,67.7
24,other,b.tech,4.28,no,7.1,poor,coaching,high,moderate,65.8
20,female,bba,1.87,yes,6,average,group study,medium,moderate,54.3
20,other,b.tech,4.17,yes,6,good,online videos,medium,moderate,49.9
20,other,bca,4.5,yes,5,good,mixed,low,moderate,62.2
23,female,bba,2.72,yes,6.5,good,online videos,medium,hard,66.1
17,other,bca,04.05,yes,6.2,good,online videos,low,easy,60.2
17,male,ba,3.25,yes,9.9,good,coaching,low,easy,80.1
19,other,diploma,5.58,yes,4.6,average,coaching,medium,moderate,76.3
20,male,b.sc,4.35,yes,7.5,average,group study,medium,moderate,62
22,female,ba,07.02,no,9.9,good,self-study,low,moderate,93.8
20,other,b.tech,0.4,yes,9.6,average,mixed,low,easy,42.3
20,other,bca,0.21,no,8.2,average,coaching,high,moderate,56.4
24,male,ba,1.51,no,6.4,good,group study,low,moderate,52.6
18,other,b.sc,0.95,yes,8.4,average,group study,medium,hard,43.2
21,male,bca,4.21,yes,9.6,poor,coaching,high,hard,60.5
21,other,diploma,1.6,yes,7.3,poor,coaching,low,hard,41
20,female,b.tech,0.13,yes,6.1,poor,online videos,high,hard,22.1
23,male,bca,2.26,yes,4.1,average,online videos,low,moderate,28.3
19,other,bca,04.07,yes,7,good,online videos,low,moderate,52.4
24,other,b.com,5.71,yes,4.6,good,group study,high,moderate,84.3
19,male,bba,3.51,yes,5.9,poor,coaching,high,moderate,60.8
21,male,bca,7.7,yes,7.7,poor,self-study,high,easy,55.2
21,male,ba,1.6,yes,5.7,average,group study,low,hard,59.7
23,female,bba,4.11,yes,5.3,good,group study,high,easy,69.1
20,female,b.tech,02.03,no,7.5,poor,mixed,low,moderate,57
19,other,diploma,6.45,yes,4.4,poor,group study,high,easy,67.9
17,other,diploma,1.5,yes,9.6,average,group study,high,easy,38.3
19,male,b.sc,7.69,yes,9.9,poor,group study,low,moderate,67.2
23,female,ba,5.73,no,9.9,average,online videos,low,easy,72.9
17,other,b.sc,4.45,yes,4.1,good,coaching,medium,hard,74.2
24,other,b.com,4.26,yes,4.1,good,coaching,high,moderate,84.4
21,male,b.sc,2.9,yes,4.6,good,mixed,low,moderate,64.7
18,male,diploma,0.17,yes,9.5,average,self-study,low,moderate,49.1
19,male,bba,7.32,no,9.2,good,group study,medium,moderate,85.5
21,female,bca,6.36,yes,4.1,average,group study,high,easy,50.7
19,female,bca,01.08,yes,4.4,good,group study,high,hard,59.1
17,female,bca,0.98,yes,5.8,poor,group study,high,hard,51.3
22,male,b.sc,2.46,yes,5.7,good,online videos,medium,easy,53.6
22,female,bca,6.11,yes,4.1,average,self-study,medium,moderate,50.3
17,male,bca,04.03,yes,4.5,average,self-study,low,moderate,45.7
19,female,b.tech,5.23,yes,8.1,average,online videos,high,easy,66.1
18,male,b.tech,0.08,yes,7.5,good,group study,medium,easy,36.6
22,other,bca,7.39,yes,6.1,average,mixed,low,easy,83.3
22,female,b.com,1.33,yes,5.5,average,online videos,medium,easy,55.9
22,male,b.com,2.55,yes,6.8,good,online videos,high,easy,70.6
24,other,b.com,7.58,no,7.8,good,coaching,low,moderate,78.3
23,other,diploma,5.86,yes,5.8,good,online videos,low,moderate,70.8
19,male,b.com,04.09,yes,4.8,average,online videos,high,moderate,59
17,male,b.com,6.9,yes,9.5,average,coaching,low,hard,70.1
21,male,b.com,0.49,yes,4.7,average,mixed,low,moderate,46.2
24,female,b.tech,0.61,yes,9,good,group study,medium,moderate,31.4
24,female,b.tech,1.24,yes,7.4,good,online videos,medium,easy,34.8
18,female,b.com,2.12,yes,6.8,good,self-study,high,easy,57.7
18,female,b.tech,5.67,yes,5.5,average,self-study,high,easy,53.6
17,female,bca,4.26,yes,8.2,good,online videos,low,moderate,72.2
18,male,b.com,3.41,yes,6.9,average,self-study,low,easy,47.4
21,male,ba,6.26,yes,4.6,good,self-study,high,hard,72.4
21,other,b.com,2.54,yes,8.9,average,coaching,medium,moderate,48.3
19,other,bca,0.68,yes,8.1,good,self-study,low,moderate,50.6
19,other,b.com,3.17,yes,8.6,average,mixed,high,moderate,66.7
23,other,b.tech,6.13,yes,5.4,poor,online videos,high,moderate,60.4
20,female,ba,3.79,yes,5.9,average,group study,medium,easy,58.2
23,other,b.sc,7.82,no,6,poor,online videos,high,easy,87.2
24,other,bba,6.85,yes,5,average,mixed,high,moderate,65.4
19,other,ba,6.33,no,9.3,good,online videos,medium,easy,84.8
18,male,ba,6.19,yes,6.2,good,group study,low,moderate,79.1
24,male,b.com,4.65,yes,5.8,average,group study,medium,moderate,57.3
22,female,bba,7.21,yes,6.9,good,mixed,low,easy,88.2
19,female,bba,4.72,yes,9.7,poor,coaching,medium,easy,66.7
21,other,diploma,2.98,no,6.2,good,group study,medium,easy,67.6
21,male,diploma,1.57,yes,9.6,average,self-study,medium,hard,53.3
24,other,b.tech,6.5,yes,9.6,good,online videos,low,easy,86.3
19,other,bba,2.97,yes,5.9,poor,online videos,high,easy,57.2
24,other,b.tech,6.33,yes,7.6,poor,coaching,medium,moderate,74.5
24,male,b.com,7.86,yes,7.9,good,coaching,high,moderate,100
18,male,bca,3.19,yes,5.7,average,coaching,low,moderate,55.9
18,male,ba,2.73,yes,9.9,poor,mixed,high,moderate,49.7
21,other,bca,1.36,yes,7.6,good,self-study,high,easy,53.3
17,other,diploma,3.8,yes,8.3,poor,online videos,low,moderate,69.6
19,female,diploma,5.23,yes,8.1,good,coaching,low,moderate,66.8
20,male,bba,2.5,no,5.3,poor,group study,high,moderate,37.8
24,female,bba,3.89,yes,7.6,poor,coaching,medium,hard,80.2
24,other,bca,4.3,yes,9.2,good,self-study,medium,moderate,77.2
18,female,b.sc,2.2,no,8.6,average,coaching,low,moderate,42.5
24,male,b.com,0.19,no,6.7,poor,coaching,high,hard,38.9
17,female,b.com,1.72,yes,7.3,good,group study,medium,easy,43
22,female,bca,6.43,yes,7.8,poor,online videos,high,moderate,100
23,female,b.com,2.22,yes,6.2,average,online videos,high,moderate,39.8
24,other,b.tech,0.11,yes,6,poor,group study,medium,easy,28
18,male,bca,3.4,yes,6.7,poor,online videos,high,easy,68.4
24,female,bca,5.46,yes,9.9,good,mixed,low,hard,67
17,other,bba,06.02,yes,8.2,average,coaching,high,moderate,81
21,male,diploma,3.31,yes,4.8,average,coaching,medium,moderate,78
20,male,bca,4.57,yes,4.7,average,group study,medium,moderate,86.2
19,male,diploma,5.96,yes,4.8,good,mixed,low,moderate,73.9
17,female,b.sc,7.11,yes,9.3,poor,self-study,low,moderate,71.8
23,male,b.tech,5.12,yes,4.9,poor,mixed,high,moderate,54.5
19,other,b.com,5.53,yes,6.7,average,mixed,low,easy,80.3
22,male,bca,0.79,no,7.9,poor,coaching,medium,moderate,37.6
20,other,diploma,3.36,yes,8.9,average,self-study,medium,easy,45.6
19,female,b.tech,7.11,no,5.9,poor,mixed,medium,easy,96.1
24,other,bca,1.29,yes,5.4,poor,self-study,high,moderate,19.7
17,female,ba,2.48,yes,4.6,poor,coaching,low,easy,50.6
22,female,bca,5.42,yes,4.5,poor,coaching,medium,moderate,47.8
22,male,bba,7.22,yes,4.9,good,online videos,high,moderate,97.5
20,female,b.tech,0.47,yes,8.1,poor,online videos,high,moderate,45
19,male,ba,6.96,yes,4.4,average,coaching,medium,easy,96.4
17,male,b.tech,1.76,yes,7.9,poor,group study,low,hard,22.9
24,other,b.com,6.89,no,9.2,average,mixed,medium,moderate,76.4
24,other,bca,7.11,yes,7.1,average,mixed,medium,easy,79.6
18,male,bba,6.2,yes,9.6,poor,online videos,high,moderate,71
17,female,bba,7.39,yes,6.8,average,mixed,high,moderate,100
17,male,bba,7.69,yes,6.8,poor,group study,low,moderate,90.6
17,male,b.tech,7.4,yes,5,good,online videos,low,easy,50.8
23,female,bba,4.11,yes,7.8,average,group study,medium,easy,67
24,other,ba,3.71,no,8.6,good,online videos,low,moderate,80
18,male,ba,0.84,yes,5.2,poor,online videos,high,easy,61.5
22,female,b.sc,1.73,yes,7.7,good,mixed,low,easy,27
18,other,bba,5.22,no,6.5,good,mixed,high,hard,96
19,female,bba,01.02,yes,9.9,poor,online videos,high,moderate,57.9
21,male,b.com,7.54,yes,4.4,average,group study,high,moderate,72.6
22,female,b.tech,1.82,no,6.4,good,self-study,medium,moderate,65.9
23,other,b.tech,0.7,yes,6.5,poor,mixed,low,moderate,31.3
17,other,b.com,1.88,yes,6.8,average,mixed,low,hard,41.1
18,female,ba,0.39,yes,5.8,poor,coaching,low,moderate,25.5
19,male,diploma,1.33,yes,5.7,poor,online videos,high,moderate,26.7
19,other,bca,4.7,yes,6.1,poor,mixed,medium,easy,57
24,other,ba,2.31,yes,5,poor,coaching,low,moderate,74.3
23,female,b.com,6.41,yes,4.8,poor,mixed,low,moderate,75.5
19,other,b.sc,3.24,yes,9.4,average,self-study,medium,hard,68.8
24,other,b.tech,5.71,yes,7,poor,mixed,high,easy,62.7
20,male,b.tech,5.67,yes,8.7,poor,self-study,low,easy,76.3
